number of goals,team,month,day,hour,day of week,possession,possession in contest,total attempts,conceded,goal inside the penalty area,goal outside the penalty area,assists,on target attempts,off target attempts,attempts inside the penalty area,attempts outside the penalty area,left channel,left inside channel,central channel,right inside channel,right channel,total offers to receive,inbehind offers to receive,inbetween offers to receive,infront offers to receive,receptions between midfield and defensive lines,attempted line breaks,completed line breaks,attempted defensive line breaks,completed defensive line breaks,yellow cards,red cards,fouls against,offsides,passes,passes completed,crosses,crosses completed,switches of play completed,corners,free kicks,penalties scored,goal preventions,own goals,forced turnovers,defensive pressures applied
0,JAPAN,11,27,11,6,0.22,0.13,10.0,1.0,2.0,0.0,1.0,3.0,6.0,10.0,0.0,5.0,0.0,3.0,3.0,11.0,346.0,102.0,146.0,98.0,10.0,113.0,70.0,17.0,11.0,0.0,0.0,14.0,4.0,261.0,207.0,16.0,3.0,2.0,6.0,10.0,0.0,26.0,0.0,87.0,487.0
1,COSTA RICA,11,27,11,6,0.17,0.09,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,250.0,52.0,104.0,94.0,1.0,119.0,58.0,11.0,1.0,2.0,0.0,12.0,7.0,231.0,170.0,5.0,0.0,1.0,0.0,11.0,0.0,17.0,0.0,76.0,585.0
2,MOROCCO,11,27,14,6,0.32,0.12,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,8.0,1.0,6.0,0.0,11.0,498.0,106.0,193.0,199.0,4.0,142.0,0.0,10.0,0.0,1.0,0.0,17.0,0.0,360.0,290.0,10.0,1.0,6.0,0.0,12.0,0.0,7.0,0.0,87.0,391.0
0,BELGIUM,11,27,14,6,0.46,0.11,9.0,0.0,1.0,0.0,1.0,3.0,6.0,0.0,3.0,6.0,3.0,5.0,2.0,6.0,618.0,115.0,268.0,235.0,8.0,175.0,0.0,13.0,0.0,3.0,0.0,11.0,0.0,512.0,439.0,8.0,5.0,4.0,4.0,15.0,0.0,21.0,0.0,74.0,284.0
4,CROATIA,11,27,17,6,0.57,0.12,6.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,12.0,3.0,6.0,5.0,7.0,626.0,99.0,197.0,330.0,9.0,169.0,116.0,18.0,9.0,0.0,0.0,11.0,1.0,667.0,592.0,19.0,4.0,7.0,5.0,17.0,0.0,8.0,0.0,58.0,217.0
1,CANADA,11,27,17,6,0.43,0.11,21.0,1.0,0.0,0.0,0.0,4.0,12.0,16.0,5.0,17.0,6.0,8.0,5.0,20.0,582.0,140.0,279.0,163.0,15.0,176.0,123.0,23.0,13.0,2.0,0.0,14.0,1.0,448.0,382.0,19.0,6.0,6.0,4.0,10.0,0.0,9.0,0.0,47.0,320.0
1,GERMANY,11,27,20,6,0.65,0.13,25.0,2.0,1.0,0.0,0.0,9.0,11.0,0.0,10.0,24.0,9.0,14.0,5.0,21.0,865.0,199.0,366.0,300.0,19.0,241.0,0.0,23.0,0.0,0.0,0.0,6.0,4.0,820.0,743.0,28.0,9.0,4.0,6.0,17.0,1.0,12.0,0.0,55.0,164.0
1,SPAIN,11,27,20,6,0.74,0.09,17.0,0.0,7.0,0.0,4.0,7.0,8.0,0.0,5.0,30.0,4.0,8.0,6.0,12.0,1085.0,180.0,418.0,487.0,23.0,276.0,0.0,34.0,0.0,0.0,0.0,8.0,3.0,1061.0,1003.0,17.0,2.0,8.0,5.0,18.0,1.0,0.0,0.0,46.0,185.0
3,SERBIA,11,28,11,0,0.34,0.13,4.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,10.0,3.0,4.0,3.0,7.0,414.0,67.0,185.0,162.0,4.0,140.0,91.0,15.0,6.0,3.0,0.0,12.0,0.0,403.0,341.0,13.0,3.0,6.0,4.0,8.0,0.0,24.0,0.0,71.0,338.0
3,CAMEROON,11,28,11,0,0.46,0.11,7.0,1.0,0.0,0.0,0.0,3.0,2.0,6.0,1.0,9.0,12.0,3.0,5.0,18.0,561.0,109.0,248.0,204.0,5.0,182.0,103.0,16.0,4.0,1.0,0.0,10.0,2.0,500.0,424.0,20.0,4.0,8.0,5.0,14.0,0.0,8.0,0.0,79.0,316.0
3,GHANA,11,28,14,0,0.35,0.1,8.0,3.0,2.0,0.0,2.0,3.0,5.0,2.0,6.0,7.0,9.0,6.0,3.0,3.0,459.0,87.0,187.0,185.0,5.0,150.0,88.0,12.0,4.0,4.0,0.0,19.0,1.0,394.0,326.0,12.0,3.0,2.0,3.0,15.0,0.0,11.0,0.0,82.0,326.0
2,KOREA REPUBLIC,11,28,14,0,0.38,0.13,6.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,15.0,0.0,4.0,4.0,19.0,551.0,136.0,228.0,187.0,8.0,185.0,96.0,17.0,8.0,1.0,0.0,10.0,0.0,419.0,340.0,19.0,3.0,9.0,3.0,8.0,0.0,10.0,0.0,54.0,231.0
